iter	Passed	Remaining
653	17852	9444
654	17880	9418
655	17906	9390
656	17936	9363
657	17963	9336
658	17990	9309
659	18017	9281
660	18043	9253
661	18070	9226
662	18097	9198
663	18125	9172
664	18151	9144
665	18179	9117
666	18207	9090
667	18237	9064
668	18264	9036
669	18291	9009
670	18318	8981
671	18346	8954
672	18374	8927
673	18401	8900
674	18427	8872
675	18454	8844
676	18477	8815
677	18505	8788
678	18530	8760
679	18557	8732
680	18584	8705
681	18612	8678
682	18639	8651
683	18666	8623
684	18695	8597
685	18720	8569
686	18750	8542
687	18775	8514
688	18802	8486
689	18833	8461
690	18861	8434
691	18885	8405
692	18912	8378
693	18941	8351
694	18968	8324
695	18995	8297
696	19022	8269
697	19048	8241
698	19077	8215
699	19104	8187
700	19130	8159
701	19157	8132
702	19181	8103
703	19210	8077
704	19237	8049
705	19264	8022
706	19290	7994
707	19321	7968
708	19346	7940
709	19371	7912
710	19400	7885
711	19429	7859
712	19456	7831
713	19481	7803
714	19508	7776
715	19534	7748
716	19560	7720
717	19588	7693
718	19617	7667
719	19642	7638
720	19670	7611
721	19696	7584
722	19724	7557
723	19752	7530
724	19781	7503
725	19808	7475
726	19838	7449
727	19865	7422
728	19894	7395
729	19922	7368
730	19950	7341
731	19975	7313
732	20003	7286
733	20032	7259
734	20059	7232
735	20086	7204
736	20112	7177
737	20137	7148
738	20163	7121
739	20193	7094
740	20221	7068
741	20247	7040
742	20275	7013
743	20300	6985
744	20324	6956
745	20352	6929
746	20380	6902
747	20406	6874
748	20435	6848
749	20460	6820
750	20486	6792
751	20510	6764
752	20537	6736
753	20567	6710
754	20592	6682
755	20618	6654
756	20645	6627
757	20670	6599
758	20695	6571
759	20721	6543
760	20749	6516
761	20776	6489
762	20805	6462
763	20835	6436
764	20863	6409
765	20894	6382
766	20921	6355
767	20947	6328
768	20974	6300
769	21003	6273
770	21029	6246
771	21058	6219
772	21084	6191
773	21109	6163
774	21139	6137
775	21164	6109
776	21193	6082
777	21218	6054
778	21248	6028
779	21281	6002
780	21310	5975
781	21336	5947
782	21362	5920
783	21388	5892
784	21415	5865
785	21441	5837
786	21468	5810
787	21496	5783
788	21521	5755
789	21547	5727
790	21575	5700
791	21603	5673
792	21628	5645
793	21656	5618
794	21683	5591
795	21708	5563
796	21734	5536
797	21763	5509
798	21789	5481
799	21815	5453
800	21843	5426
801	21869	5399
802	21895	5371
803	21926	5345
804	21950	5317
805	21978	5290
806	22006	5262
807	22031	5235
808	22059	5208
809	22087	5181
810	22113	5153
811	22141	5126
812	22166	5098
813	22192	5071
814	22219	5043
815	22248	5016
816	22277	4989
817	22308	4963
818	22336	4936
819	22362	4908
820	22388	4881
821	22416	4854
822	22444	4827
823	22473	4800
824	22500	4772
825	22525	4745
826	22550	4717
827	22579	4690
828	22606	4663
829	22633	4635
830	22659	4608
831	22685	4580
832	22713	4553
833	22741	4526
834	22768	4499
835	22798	4472
836	22826	4445
837	22854	4418
838	22885	4391
839	22911	4364
840	22939	4336
841	22969	4310
842	22996	4282
843	23022	4255
844	23050	4228
845	23077	4200
846	23107	4174
847	23134	4146
848	23161	4119
849	23192	4092
850	23220	4065
851	23247	4038
852	23275	4011
853	23303	3984
854	23332	3956
855	23359	3929
856	23391	3903
857	23421	3876
858	23449	3849
859	23478	3822
860	23506	3794
861	23533	3767
862	23561	3740
863	23590	3713
864	23617	3686
865	23644	3658
866	23672	3631
867	23698	3603
868	23726	3576
869	23753	3549
870	23778	3521
871	23803	3494
872	23831	3466
873	23858	3439
874	23886	3412
875	23911	3384
876	23938	3357
877	23966	3330
878	23993	3302
879	24020	3275
880	24049	3248
881	24075	3221
882	24103	3193
883	24132	3166
884	24158	3139
885	24185	3111
886	24214	3084
887	24239	3057
888	24265	3029
889	24292	3002
890	24320	2975
891	24346	2947
892	24375	2920
893	24399	2893
894	24427	2865
895	24452	2838
896	24478	2810
897	24506	2783
898	24531	2756
899	24559	2728
900	24589	2701
901	24615	2674
902	24640	2646
903	24669	2619
904	24696	2592
905	24723	2565
906	24753	2538
907	24781	2510
908	24806	2483
909	24835	2456
910	24862	2428
911	24887	2401
912	24913	2374
913	24941	2346
914	24968	2319
915	24997	2292
916	25023	2264
917	25049	2237
918	25075	2210
919	25102	2182
920	25128	2155
921	25155	2128
922	25182	2100
923	25209	2073
924	25233	2045
925	25260	2018
926	25286	1991
927	25312	1963
928	25339	1936
929	25368	1909
930	25394	1882
931	25421	1854
932	25451	1827
933	25479	1800
934	25504	1773
935	25533	1745
936	25557	1718
937	25584	1691
938	25611	1663
939	25636	1636
940	25662	1608
941	25688	1581
942	25713	1554
943	25740	1526
944	25768	1499
945	25796	1472
946	25826	1445
947	25852	1418
948	25878	1390
949	25908	1363
950	25933	1336
951	25960	1308
952	25986	1281
953	26012	1254
954	26038	1226
955	26063	1199
956	26090	1172
957	26119	1145
958	26146	1117
959	26173	1090
960	26200	1063
961	26228	1036
962	26253	1008
963	26280	981
964	26307	954
965	26334	926
966	26360	899
967	26385	872
968	26413	845
969	26439	817
970	26467	790
971	26495	763
972	26523	735
973	26550	708
974	26577	681
975	26602	654
976	26628	626
977	26656	599
978	26681	572
979	26708	545
980	26735	517
981	26764	490
982	26790	463
983	26818	436
984	26844	408
985	26870	381
986	26898	354
987	26925	327
988	26954	299
989	26981	272
990	27007	245
991	27034	218
992	27061	190
993	27089	163
994	27117	136
995	27148	109
996	27173	81
997	27199	54
998	27228	27
999	27254	0
